Date,"Michael Jackson","Lady Gaga","Eminem","Justin Bieber","Freddie Mercury","Miley Cyrus","Taylor Swift","Lil Wayne","Selena Gomez","Rihanna"
2020-11-27,23408,13678,14382,17765,20634,36426,23011,6640,11093,10767
2020-11-28,24412,17310,15163,18613,22327,28833,22756,14294,13103,11217
2020-11-29,26487,17066,16130,23776,21772,26691,21567,9990,16584,10979
2020-11-30,23949,13484,13767,16107,15540,21505,17672,8436,14786,9964
2020-12-01,21669,15499,13181,23909,19636,21874,15726,8982,14817,20528
2020-12-02,21682,15666,12859,24012,22563,24362,18601,7970,15702,21480
2020-12-03,22190,16111,13638,18422,21055,43142,19580,6846,17205,15498
2020-12-04,22250,16315,13847,19939,21704,35520,18332,6374,20276,14145
2020-12-05,24487,18989,14461,19860,20815,36172,17951,7451,24861,14069
2020-12-06,23701,18025,20140,17424,22140,30848,16932,8149,22814,13273
2020-12-07,22491,14824,18795,15709,16815,26228,50686,6149,17333,11366
2020-12-08,21702,14815,16170,15197,16894,24138,15725,5719,13239,11194
2020-12-09,21530,14039,14658,15368,15348,20278,17357,5664,13247,11932
2020-12-10,22073,14454,15267,17021,15334,18358,81092,5889,12559,11033
2020-12-11,22005,14374,15028,15060,18839,18275,134157,8922,12506,10586
2020-12-12,22705,16662,15153,16146,20177,17493,77681,22322,14132,10462
2020-12-13,24584,17801,16536,15809,20643,18901,70711,14697,13421,11778
2020-12-14,23093,32454,15154,15509,16956,17245,51114,8229,11541,10435
2020-12-15,22578,20145,15259,14687,19509,14594,45961,7348,11067,10700
2020-12-16,21798,15129,14887,13899,13984,14165,39029,5968,10786,10332
2020-12-17,21733,14986,15238,14048,14753,14075,35318,5825,12028,10969
2020-12-18,22773,14043,63987,15241,22403,14841,29015,7377,11366,11887
2020-12-19,23613,14821,46074,14175,21141,15317,26361,8089,10672,13439
2020-12-20,23259,16947,31567,15494,24305,15425,26961,7048,13266,13230
2020-12-21,22936,14194,26497,16078,16690,13807,27274,6539,14169,12004
2020-12-22,20919,13157,22928,15591,16692,13239,25974,6210,13449,11805
2020-12-23,22869,13153,20680,15709,15663,14712,21826,5772,11498,11653
2020-12-24,27810,16023,20029,15797,18809,13033,20651,5532,10682,10885
2020-12-25,44229,21624,20304,16935,60971,17182,19203,5207,10450,11972
2020-12-26,32817,21327,22284,16692,40742,16197,23926,5490,11537,13194
2020-12-27,31174,17420,20628,15948,30931,15313,23266,5693,12686,14938
2020-12-28,28684,15396,22890,17813,20466,14838,22045,5830,12818,12928
2020-12-29,26743,13908,22566,18367,18450,14677,20761,5977,12168,13051
2020-12-30,23520,13250,20690,17613,18447,14397,19691,5662,12326,14758
2020-12-31,25870,15863,20080,16715,48237,15569,19349,5699,11981,14164
